id,decision,score,category,family,question,correct_answer,reasons
q4042,KEEP,7.0,Spor,sport,Squash sporunda bir oyun normalde kaç sayıda kazanılır?,11,
q6026,KEEP,7.0,Spor,sport,Tokyo Dome hangi ülkede bulunur?,Japonya,
q13638,KEEP,7.0,Sanat & Edebiyat,art,Rhapsody in Blue ile An American in Paris eserlerinin ortak yaratıcısı kimdir?,George Gershwin,
q006,KEEP,6.5,Coğrafya,capital,Türkiye’nin başkenti hangisidir?,Ankara,
q069,KEEP,6.5,Sanat & Edebiyat,art,Yıldızlı Gece tablosunun ressamı kimdir?,Van Gogh,
q075,KEEP,6.5,Sanat & Edebiyat,art,Safahat’ın yazarı kimdir?,Mehmet Akif Ersoy,
q085,KEEP,6.5,Bilim & Doğa,science,Güneş Sistemi’nin en büyük gezegeni hangisidir?,Jüpiter,açıklama çoğunlukla cevabı tekrar ediyor
q121,KEEP,6.5,Coğrafya,geo,Ankara hangi ülkenin başkentidir?,Türkiye,açıklama çoğunlukla cevabı tekrar ediyor
q122,KEEP,6.5,Coğrafya,geo,Türkiye için kullanılan internet ülke kodu uzantısı hangisidir?,.tr,açıklama çoğunlukla cevabı tekrar ediyor
q124,KEEP,6.5,Coğrafya,geo,Paris hangi ülkenin başkentidir?,Fransa,açıklama çoğunlukla cevabı tekrar ediyor
q1102,KEEP,6.5,Tarih,history,Babil ile ilişkilendirilen tarihî olay hangisidir?,Hammurabi Kanunları’nın hazırlanması,açıklama çoğunlukla cevabı tekrar ediyor
q1171,KEEP,6.5,Tarih,history,Roma İmparatorluğu ile ilişkilendirilen tarihî olay hangisidir?,Roma İmparatorluğu’nun ikiye ayrılması,açıklama çoğunlukla cevabı tekrar ediyor
q1628,KEEP,6.5,Sanat & Edebiyat,art,"Veronalı iki gencin trajik aşkını anlatan, William Shakespeare imzalı eser hangisidir?",Romeo ve Juliet,
q1706,KEEP,6.5,Sanat & Edebiyat,art,"Raskolnikov karakterini merkeze alan, Fyodor Dostoyevski imzalı eser hangisidir?",Suç ve Ceza,
q4091,KEEP,6.5,Spor,sport,Bir oyunun normalde 21 sayıda kazanılması aşağıdaki sporlardan hangisinin standart kurallarında görülür?,Badminton,
q4092,KEEP,6.5,Spor,sport,Bir setin normalde 11 sayıda kazanılması aşağıdaki sporlardan hangisinin standart kurallarında görülür?,Masa tenisi,
q6163,KEEP,6.5,Coğrafya,geo,Asya bölgesindeki traverten terasları örneklerinden biri hangisidir?,Pamukkale,
q6966,KEEP,6.5,Spor,sport,2024 Yaz Olimpiyatları hangi şehirde düzenlendi?,Paris,
q6967,KEEP,6.5,Spor,sport,Milano şehrinde bulunan ve ağırlıklı olarak futbol için kullanılan spor tesisi hangisidir?,San Siro,
q7051,KEEP,6.5,Spor,sport,Londra şehrinde bulunan ve ağırlıklı olarak kriket için kullanılan spor tesisi hangisidir?,Lord’s Cricket Ground,
q7526,KEEP,6.5,Tarih,history,Tunç Çağı dönemine tarihlenen ve Türkiye sınırlarında bulunan alan hangisidir?,Troya,
q7560,KEEP,6.5,Tarih,history,Peru sınırlarında bulunan ve İnkalar ile ilişkilendirilen arkeolojik alan hangisidir?,Machu Picchu,
q8455,KEEP,6.5,Tarih,history,Antik Çağ dönemine tarihlenen ve Türkiye sınırlarında bulunan alan hangisidir?,Efes,
q8457,KEEP,6.5,Tarih,history,Türkiye sınırlarında bulunan ve Hititler ile ilişkilendirilen arkeolojik alan hangisidir?,Hattuşa,
q23767,KEEP,6.5,Spor,sport,2026 Kış Olimpiyat Oyunları’nın ana ev sahibi şehri veya ortak ev sahibi adı hangisidir?,Milano Cortina,
q24456,KEEP,6.5,Spor,sport,1924 Kış Olimpiyat Oyunları hangi ülkede düzenlenmiştir?,Fransa,
q025,KEEP,6.0,Eğlence,director,Titanic filminin yönetmeni kimdir?,James Cameron,
q066,KEEP,6.0,Sanat & Edebiyat,art,İlahi Komedya’nın yazarı kimdir?,Dante Alighieri,açıklama çoğunlukla cevabı tekrar ediyor
q071,KEEP,6.0,Sanat & Edebiyat,art,Sefiller romanının yazarı kimdir?,Victor Hugo,açıklama çoğunlukla cevabı tekrar ediyor
q074,KEEP,6.0,Sanat & Edebiyat,art,Çalıkuşu romanının yazarı kimdir?,Reşat Nuri Güntekin,açıklama çoğunlukla cevabı tekrar ediyor
q077,KEEP,6.0,Sanat & Edebiyat,art,Romeo ve Juliet’in yazarı kimdir?,Shakespeare,açıklama çoğunlukla cevabı tekrar ediyor
q1689,KEEP,6.0,Sanat & Edebiyat,art,Gotik roman türünde değerlendirilen eser hangisidir?,Frankenstein,açıklama çoğunlukla cevabı tekrar ediyor
q3622,KEEP,6.0,Sanat & Edebiyat,author,İlahi Komedya adlı eserin yazarı kimdir?,Dante Alighieri,
q3624,KEEP,6.0,Sanat & Edebiyat,author,Don Kişot adlı eserin yazarı kimdir?,Miguel de Cervantes,
q3628,KEEP,6.0,Sanat & Edebiyat,author,Faust adlı eserin yazarı kimdir?,Johann Wolfgang von Goethe,
q3634,KEEP,6.0,Sanat & Edebiyat,author,Anna Karenina adlı eserin yazarı kimdir?,Lev Tolstoy,
q3640,KEEP,6.0,Sanat & Edebiyat,author,Sefiller adlı eserin yazarı kimdir?,Victor Hugo,
q3650,KEEP,6.0,Sanat & Edebiyat,author,Moby-Dick adlı eserin yazarı kimdir?,Herman Melville,
q4047,KEEP,6.0,Spor,sport,Yarı maraton sporunda resmî yarış mesafesi kaç kilometredir?,"21,0975",doğru seçenek uzunluğuyla ayrışıyor
q4054,KEEP,6.0,Spor,sport,Dekatlon sporunda kaç atletizm yarışından oluşur?,10,
q4055,KEEP,6.0,Spor,sport,Heptatlon sporunda kaç atletizm yarışından oluşur?,7,
q4296,KEEP,6.0,Eğlence,director,En İyi Film Oscarını kazanan Rocky filminin yönetmeni kimdir?,John G. Avildsen,
q4314,KEEP,6.0,Eğlence,director,En İyi Film Oscarını kazanan Forrest Gump filminin yönetmeni kimdir?,Robert Zemeckis,
q4317,KEEP,6.0,Eğlence,director,En İyi Film Oscarını kazanan Titanic filminin yönetmeni kimdir?,James Cameron,
q4322,KEEP,6.0,Eğlence,director,En İyi Film Oscarını kazanan Chicago filminin yönetmeni kimdir?,Rob Marshall,
q4955,KEEP,6.0,Spor,champion,1930 FIFA Dünya Kupası’nı hangi ülke kazandı?,Uruguay,
q5072,KEEP,6.0,Spor,champion,2000 NBA Finalleri’ni hangi takım kazandı?,Los Angeles Lakers,
q6717,KEEP,6.0,Sanat & Edebiyat,art,Slav Dansları ile aynı yaratıcıya ait başka bir eser hangisidir?,Yeni Dünya Senfonisi,
q13722,KEEP,6.0,Sanat & Edebiyat,art,Şehrazat ile Arının Uçuşu eserlerinin ortak yaratıcısı kimdir?,Nikolay Rimski-Korsakov,
q13730,KEEP,6.0,Sanat & Edebiyat,art,Düğün Marşı ile Hebridler Uvertürü eserlerinin ortak yaratıcısı kimdir?,Felix Mendelssohn,
q16769,KEEP,6.0,Sanat & Edebiyat,art,Peter ve Kurt ile Romeo ve Juliet eserlerinin ortak yaratıcısı kimdir?,Sergey Prokofyev,
q17650,KEEP,6.0,Sanat & Edebiyat,art,Anna Karenina ile İvan İlyiç’in Ölümü eserlerinin ortak yaratıcısı kimdir?,Lev Tolstoy,
q17778,KEEP,6.0,Sanat & Edebiyat,art,Sefiller ile Notre Dame’ın Kamburu eserlerinin ortak yaratıcısı kimdir?,Victor Hugo,
q19700,KEEP,6.0,Sanat & Edebiyat,art,Yeni Dünya Senfonisi ile Slav Dansları eserlerinin ortak yaratıcısı kimdir?,Antonín Dvořák,
q003,KEEP,5.5,Coğrafya,geo,İstanbul Boğazı hangi iki denizi birbirine bağlar?,Karadeniz ve Marmara,açıklama çoğunlukla cevabı tekrar ediyor
q013,KEEP,5.5,Coğrafya,geo,Türkiye’nin en büyük gölü hangisidir?,Van Gölü,açıklama çoğunlukla cevabı tekrar ediyor
q017,KEEP,5.5,Coğrafya,geo,Kıtalar hariç dünyanın en büyük adası hangisidir?,Grönland,açıklama çoğunlukla cevabı tekrar ediyor
q023,KEEP,5.5,Eğlence,entertainment,Star Wars evreninde Darth Vader’ın oğlu kimdir?,Luke Skywalker,açıklama çoğunlukla cevabı tekrar ediyor
q044,KEEP,5.5,Tarih,history,Birinci Dünya Savaşı hangi yılda başladı?,1914,açıklama çoğunlukla cevabı tekrar ediyor
q045,KEEP,5.5,Tarih,history,İkinci Dünya Savaşı hangi yılda sona erdi?,1945,açıklama çoğunlukla cevabı tekrar ediyor
q047,KEEP,5.5,Tarih,history,Magna Carta hangi yılda imzalandı?,1215,açıklama çoğunlukla cevabı tekrar ediyor
q049,KEEP,5.5,Tarih,history,Matbaanın Avrupa’da yaygınlaşmasını sağlayan kişi kimdir?,Gutenberg,
q054,KEEP,5.5,Tarih,history,Mustafa Kemal Atatürk hangi şehirde doğdu?,Selanik,açıklama çoğunlukla cevabı tekrar ediyor
q092,KEEP,5.5,Bilim & Doğa,science,Dünya atmosferinde en çok bulunan gaz hangisidir?,Azot,
q097,KEEP,5.5,Bilim & Doğa,science,İnsan vücudunun en büyük organı hangisidir?,Deri,
q131,KEEP,5.5,Coğrafya,capital,İtalya’nın başkenti hangisidir?,Roma,
q132,KEEP,5.5,Coğrafya,geo,Roma hangi ülkenin başkentidir?,İtalya,açıklama çoğunlukla cevabı tekrar ediyor
q198,KEEP,5.5,Coğrafya,geo,Budapeşte hangi ülkenin başkentidir?,Macaristan,açıklama çoğunlukla cevabı tekrar ediyor
q201,KEEP,5.5,Coğrafya,geo,Bükreş hangi ülkenin başkentidir?,Romanya,açıklama çoğunlukla cevabı tekrar ediyor
q205,KEEP,5.5,Coğrafya,geo,Sofia hangi ülkenin başkentidir?,Bulgaristan,açıklama çoğunlukla cevabı tekrar ediyor
q261,KEEP,5.5,Coğrafya,geo,Rusya için kullanılan internet ülke kodu uzantısı hangisidir?,.ru,açıklama çoğunlukla cevabı tekrar ediyor
q272,KEEP,5.5,Coğrafya,geo,Azerbaycan için kullanılan internet ülke kodu uzantısı hangisidir?,.az,açıklama çoğunlukla cevabı tekrar ediyor
q418,KEEP,5.5,Coğrafya,geo,Kazakistan için kullanılan internet ülke kodu uzantısı hangisidir?,.kz,açıklama çoğunlukla cevabı tekrar ediyor
q587,KEEP,5.5,Coğrafya,geo,Kıbrıs için kullanılan internet ülke kodu uzantısı hangisidir?,.cy,açıklama çoğunlukla cevabı tekrar ediyor
q658,KEEP,5.5,Eğlence,entertainment,Robert Zemeckis'in yönettiği Geleceğe Dönüş filmi hangi yılda gösterime girdi?,1985,açıklama çoğunlukla cevabı tekrar ediyor
q708,KEEP,5.5,Eğlence,entertainment,Forrest Gump filmi hangi yılda gösterime girdi?,1994,açıklama çoğunlukla cevabı tekrar ediyor
q1093,KEEP,5.5,Tarih,history,Gize ile ilişkilendirilen tarihî olay hangisidir?,Keops Piramidi’nin tamamlanması,açıklama çoğunlukla cevabı tekrar ediyor
q1111,KEEP,5.5,Tarih,history,Maraton Ovası ile ilişkilendirilen tarihî olay hangisidir?,Maraton Savaşı,açıklama çoğunlukla cevabı tekrar ediyor
q1145,KEEP,5.5,Tarih,history,Çin ile ilişkilendirilen tarihî olay hangisidir?,Çin’in Qin Hanedanı altında birleşmesi,açıklama çoğunlukla cevabı tekrar ediyor
q1197,KEEP,5.5,Tarih,history,Orta Asya ile ilişkilendirilen tarihî olay hangisidir?,Talas Savaşı,açıklama çoğunlukla cevabı tekrar ediyor
q1214,KEEP,5.5,Tarih,history,Horasan ile ilişkilendirilen tarihî olay hangisidir?,Dandanakan Savaşı,açıklama çoğunlukla cevabı tekrar ediyor
q1223,KEEP,5.5,Tarih,history,Malazgirt ile ilişkilendirilen tarihî olay hangisidir?,Malazgirt Savaşı,açıklama çoğunlukla cevabı tekrar ediyor
q1232,KEEP,5.5,Tarih,history,Avrupa ve Doğu Akdeniz ile ilişkilendirilen tarihî olay hangisidir?,Birinci Haçlı Seferi’nin başlaması,açıklama çoğunlukla cevabı tekrar ediyor
q1240,KEEP,5.5,Tarih,history,Moğolistan ile ilişkilendirilen tarihî olay hangisidir?,Cengiz Han’ın Moğol hükümdarı ilan edilmesi,açıklama çoğunlukla cevabı tekrar ediyor
q2998,KEEP,5.5,Spor,sport,2010 FIBA Dünya Basketbol Şampiyonası hangi ülkede düzenlendi?,Türkiye,açıklama çoğunlukla cevabı tekrar ediyor
q4097,KEEP,5.5,Spor,sport,Kusursuz oyunun 300 puan olması aşağıdaki sporlardan hangisinin standart kurallarında görülür?,On kuka bowling,
q4117,KEEP,5.5,Spor,sport,Başlangıçta masada 22 top bulunması aşağıdaki sporlardan hangisinin standart kurallarında görülür?,Snooker,
q4667,KEEP,5.5,Sanat & Edebiyat,art,Marilyn Diptych adlı eserin sanatçısı kimdir?,Andy Warhol,
q5289,KEEP,5.5,Eğlence,creator,The Wire dizisinin yaratıcısı veya yaratıcıları kimdir?,David Simon,
q5290,KEEP,5.5,Eğlence,creator,Mad Men dizisinin yaratıcısı veya yaratıcıları kimdir?,Matthew Weiner,
q5294,KEEP,5.5,Eğlence,creator,Community dizisinin yaratıcısı veya yaratıcıları kimdir?,Dan Harmon,
q5299,KEEP,5.5,Eğlence,creator,Deadwood dizisinin yaratıcısı veya yaratıcıları kimdir?,David Milch,
q5301,KEEP,5.5,Eğlence,creator,Fargo dizisinin yaratıcısı veya yaratıcıları kimdir?,Noah Hawley,
q5303,KEEP,5.5,Eğlence,creator,Mr. Robot dizisinin yaratıcısı veya yaratıcıları kimdir?,Sam Esmail,
q5306,KEEP,5.5,Eğlence,creator,Succession dizisinin yaratıcısı veya yaratıcıları kimdir?,Jesse Armstrong,
q5307,KEEP,5.5,Eğlence,creator,Severance dizisinin yaratıcısı veya yaratıcıları kimdir?,Dan Erickson,
q5308,KEEP,5.5,Eğlence,creator,The Bear dizisinin yaratıcısı veya yaratıcıları kimdir?,Christopher Storer,
q5311,KEEP,5.5,Eğlence,creator,Westworld dizisinin yaratıcısı veya yaratıcıları kimdir?,Jonathan Nolan ve Lisa Joy,
q5319,KEEP,5.5,Eğlence,creator,Doctor Who dizisinin yaratıcısı veya yaratıcıları kimdir?,"Sydney Newman, C. E. Webber ve Donald Wilson",
q5320,KEEP,5.5,Eğlence,creator,Fleabag dizisinin yaratıcısı veya yaratıcıları kimdir?,Phoebe Waller-Bridge,
q5321,KEEP,5.5,Eğlence,creator,Killing Eve dizisinin yaratıcısı veya yaratıcıları kimdir?,Phoebe Waller-Bridge,
q5326,KEEP,5.5,Eğlence,creator,Élite dizisinin yaratıcısı veya yaratıcıları kimdir?,Carlos Montero ve Darío Madrona,
q5328,KEEP,5.5,Eğlence,creator,Squid Game dizisinin yaratıcısı veya yaratıcıları kimdir?,Hwang Dong-hyuk,
q5329,KEEP,5.5,Eğlence,creator,Kingdom dizisinin yaratıcısı veya yaratıcıları kimdir?,Kim Eun-hee,
q5330,KEEP,5.5,Eğlence,creator,Reply 1988 dizisinin yaratıcısı veya yaratıcıları kimdir?,Lee Woo-jung,
q5331,KEEP,5.5,Eğlence,creator,My Mister dizisinin yaratıcısı veya yaratıcıları kimdir?,Park Hae-young,
q5332,KEEP,5.5,Eğlence,creator,Delhi Crime dizisinin yaratıcısı veya yaratıcıları kimdir?,Richie Mehta,
q5333,KEEP,5.5,Eğlence,creator,Paatal Lok dizisinin yaratıcısı veya yaratıcıları kimdir?,Sudip Sharma,
q5334,KEEP,5.5,Eğlence,creator,Fauda dizisinin yaratıcısı veya yaratıcıları kimdir?,Lior Raz ve Avi Issacharoff,
q5335,KEEP,5.5,Eğlence,creator,Tehran dizisinin yaratıcısı veya yaratıcıları kimdir?,Moshe Zonder,
q5336,KEEP,5.5,Eğlence,creator,Borgen dizisinin yaratıcısı veya yaratıcıları kimdir?,Adam Price,
q5337,KEEP,5.5,Eğlence,creator,The Bridge dizisinin yaratıcısı veya yaratıcıları kimdir?,Hans Rosenfeldt,
q5338,KEEP,5.5,Eğlence,creator,The Killing dizisinin yaratıcısı veya yaratıcıları kimdir?,Søren Sveistrup,
q6121,KEEP,5.5,Coğrafya,geo,Norveç sınırlarında bulunan ve fiyort olarak sınıflandırılan doğal oluşum hangisidir?,Geirangerfjord,
q6123,KEEP,5.5,Coğrafya,geo,Asya bölgesindeki kumtaşı sütunları örneklerinden biri hangisidir?,Zhangjiajie,
q6137,KEEP,5.5,Coğrafya,geo,Endonezya sınırlarında bulunan ve takımada olarak sınıflandırılan doğal oluşum hangisidir?,Raja Ampat,
q6155,KEEP,5.5,Coğrafya,geo,Avrupa bölgesindeki kumtaşı dağları örneklerinden biri hangisidir?,Sakson İsviçresi,
q6169,KEEP,5.5,Coğrafya,geo,Ürdün sınırlarında bulunan ve çöl vadisi olarak sınıflandırılan doğal oluşum hangisidir?,Vadi Rum,
q6209,KEEP,5.5,Coğrafya,geo,Arjantin sınırlarında bulunan ve buzul olarak sınıflandırılan doğal oluşum hangisidir?,Perito Moreno Buzulu,
q6227,KEEP,5.5,Coğrafya,geo,Avrupa bölgesindeki bazalt sütunları örneklerinden biri hangisidir?,Giant’s Causeway,
q6243,KEEP,5.5,Coğrafya,geo,Kuzey Amerika bölgesindeki kanyon örneklerinden biri hangisidir?,Grand Canyon,
q6477,KEEP,5.5,Tarih,history,Klasik Maya Dönemi dönemine tarihlenen ve Meksika sınırlarında bulunan alan hangisidir?,Palenque,
q6487,KEEP,5.5,Tarih,history,Guatemala sınırlarında bulunan ve Mayalar ile ilişkilendirilen arkeolojik alan hangisidir?,Tikal,
q6519,KEEP,5.5,Tarih,history,Irak sınırlarında bulunan ve Asurlular ile ilişkilendirilen arkeolojik alan hangisidir?,Ninova,
q6543,KEEP,5.5,Tarih,history,Meksika sınırlarında bulunan ve Mayalar ile ilişkilendirilen arkeolojik alan hangisidir?,Chichén Itzá,
q6567,KEEP,5.5,Tarih,history,Honduras sınırlarında bulunan ve Mayalar ile ilişkilendirilen arkeolojik alan hangisidir?,Copán,
q6959,KEEP,5.5,Spor,sport,İtalya sınırlarında bulunan futbol tesisi hangisidir?,San Siro,
q6962,KEEP,5.5,Spor,champion,Almanya takımının kazandığı 2014 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,Brezilya,
q6971,KEEP,5.5,Spor,sport,Almanya sınırlarında bulunan futbol tesisi hangisidir?,Signal Iduna Park,
q6974,KEEP,5.5,Spor,champion,Arjantin takımının kazandığı 1986 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,Meksika,
q6983,KEEP,5.5,Spor,sport,Yunanistan sınırlarında bulunan atletizm tesisi hangisidir?,Panathenaic Stadyumu,
q6995,KEEP,5.5,Spor,sport,Birleşik Krallık sınırlarında bulunan tenis tesisi hangisidir?,All England Club,
q7007,KEEP,5.5,Spor,sport,Monako sınırlarında bulunan motor sporları tesisi hangisidir?,Monako Pisti,
q7010,KEEP,5.5,Spor,champion,İspanya takımının kazandığı 2010 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,Güney Afrika,
q7019,KEEP,5.5,Spor,sport,Hindistan sınırlarında bulunan kriket tesisi hangisidir?,Eden Gardens,
q7031,KEEP,5.5,Spor,sport,Brezilya sınırlarında bulunan futbol tesisi hangisidir?,Maracanã,
q7034,KEEP,5.5,Spor,champion,Batı Almanya takımının kazandığı 1990 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,İtalya,
q7043,KEEP,5.5,Spor,sport,Birleşik Krallık sınırlarında bulunan ragbi tesisi hangisidir?,Twickenham Stadyumu,
q7058,KEEP,5.5,Spor,champion,İtalya takımının kazandığı 1982 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,İspanya,
q7470,KEEP,5.5,Tarih,history,Klasik Maya Dönemi dönemine tarihlenen ve Guatemala sınırlarında bulunan alan hangisidir?,Tikal,
q7496,KEEP,5.5,Tarih,history,Mısır sınırlarında bulunan ve Eski Mısır ile ilişkilendirilen arkeolojik alan hangisidir?,Sakkara,
q7964,KEEP,5.5,Spor,champion,Uruguay takımının kazandığı 1950 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,Brezilya,
q7976,KEEP,5.5,Spor,champion,Batı Almanya takımının kazandığı 1954 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,İsviçre,
q8012,KEEP,5.5,Spor,champion,İtalya takımının kazandığı 1938 FIFA Dünya Kupası hangi ülkede düzenlenmiştir?,Fransa,
q12018,KEEP,5.5,Spor,champion,2003 NBA Finalleri'ni hangi takım kazandı?,San Antonio Spurs,
q25902,KEEP,5.5,Sanat & Edebiyat,author,Dava eserinin yazarı kimdir?,Franz Kafka,
q27240,KEEP,5.5,Sanat & Edebiyat,author,Frankenstein eserinin yazarı kimdir?,Mary Shelley,
q27874,KEEP,5.5,Sanat & Edebiyat,author,Ağır Roman eserinin yazarı kimdir?,Metin Kaçan,
q28333,KEEP,5.5,Sanat & Edebiyat,author,1984 eserinin yazarı kimdir?,George Orwell,
q29924,KEEP,5.5,Sanat & Edebiyat,author,İnce Memed eserinin yazarı kimdir?,Yaşar Kemal,
q29982,KEEP,5.5,Sanat & Edebiyat,author,Uğultulu Tepeler eserinin yazarı kimdir?,Emily Brontë,
q063,KEEP,5.0,Sanat & Edebiyat,art,Don Kişot’un yazarı kimdir?,Miguel de Cervantes,açıklama çoğunlukla cevabı tekrar ediyor | doğru seçenek uzunluğuyla ayrışıyor
q1579,KEEP,5.0,Sanat & Edebiyat,art,Dante Alighieri tarafından oluşturulan eser hangisidir?,İlahi Komedya,açıklama çoğunlukla cevabı tekrar ediyor
q1585,KEEP,5.0,Sanat & Edebiyat,art,Dante Alighieri tarafından oluşturulan epik şiir hangisidir?,İlahi Komedya,açıklama çoğunlukla cevabı tekrar ediyor
q1645,KEEP,5.0,Sanat & Edebiyat,art,Daniel Defoe tarafından oluşturulan roman hangisidir?,Robinson Crusoe,açıklama çoğunlukla cevabı tekrar ediyor
q1654,KEEP,5.0,Sanat & Edebiyat,art,Hiciv romanı türünde değerlendirilen eser hangisidir?,Gulliver’in Gezileri,açıklama çoğunlukla cevabı tekrar ediyor
q1666,KEEP,5.0,Sanat & Edebiyat,art,Johann Wolfgang von Goethe tarafından oluşturulan eser hangisidir?,Faust,açıklama çoğunlukla cevabı tekrar ediyor
q1671,KEEP,5.0,Sanat & Edebiyat,art,Dramatik eser türünde değerlendirilen eser hangisidir?,Faust,açıklama çoğunlukla cevabı tekrar ediyor
q1680,KEEP,5.0,Sanat & Edebiyat,art,Jane Austen tarafından oluşturulan roman hangisidir?,Gurur ve Önyargı,açıklama çoğunlukla cevabı tekrar ediyor
q1683,KEEP,5.0,Sanat & Edebiyat,art,Mary Shelley tarafından oluşturulan eser hangisidir?,Frankenstein,açıklama çoğunlukla cevabı tekrar ediyor
q1692,KEEP,5.0,Sanat & Edebiyat,art,Victor Hugo tarafından oluşturulan eser hangisidir?,Sefiller,açıklama çoğunlukla cevabı tekrar ediyor
q3291,KEEP,5.0,Eğlence,director,Tokyo Story filminin yönetmeni kimdir?,Yasujirō Ozu,
q3298,KEEP,5.0,Eğlence,director,Solaris filminin yönetmeni kimdir?,Andrei Tarkovsky,
