id,status,categoryIndex,difficulty,family,reason,question,correctAnswer
q3064,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Venüs’ün Doğuşu tablosunu kim yapmıştır?,Sandro Botticelli
q3065,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Düşünen Adam heykelinin sanatçısı kimdir?,Auguste Rodin
q3066,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Öpücük (The Kiss) tablosunun ressamı kimdir?,Gustav Klimt
q3067,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Dava adlı romanın yazarı kimdir?,Franz Kafka
q3068,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Mrs Dalloway adlı romanın yazarı kimdir?,Virginia Woolf
q3069,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Gülün Adı adlı romanın yazarı kimdir?,Umberto Eco
q3070,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Körlük adlı romanın yazarı kimdir?,José Saramago
q3071,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Usta ile Margarita adlı romanın yazarı kimdir?,Mihail Bulgakov
q3072,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Yabancı adlı romanın yazarı kimdir?,Albert Camus
q3073,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Kendine Ait Bir Oda adlı denemenin yazarı kimdir?,Virginia Woolf
q3074,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Tutunamayanlar romanının yazarı kimdir?,Oğuz Atay
q3075,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Huzur romanının yazarı kimdir?,Ahmet Hamdi Tanpınar
q3076,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Kuyucaklı Yusuf romanının yazarı kimdir?,Sabahattin Ali
q3077,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Memleketimden İnsan Manzaraları adlı eserin yazarı kimdir?,Nâzım Hikmet
q3078,REJECT,3,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Çorak Ülke (The Waste Land) şiirinin şairi kimdir?,T. S. Eliot
q3079,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Dorian Gray’in Portresi romanının yazarı kimdir?,Oscar Wilde
q3080,REJECT,3,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Guernica tablosunun ressamı kimdir?,Pablo Picasso
q3081,REJECT,4,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Atom numarası 74 olan element hangisidir?,Tungsten
q3082,REJECT,4,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Sb kimyasal simgesi hangi elemente aittir?,Antimon
q3083,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Elektrik direncinin SI birimi hangisidir?,Ohm
q3084,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Avogadro sabitinin yaklaşık değeri hangisidir?,"6,022 × 10²³"
q3085,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Güneş Sistemi’nin en büyük uydusu hangisidir?,Ganymede
q3086,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Venüs’ün kendi ekseni etrafındaki dönüşü çoğu gezegene göre nasıldır?,Ters yöndedir
q3087,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Olympus Mons yanardağı hangi gezegendedir?,Mars
q3088,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,DNA’da adenin bazı normalde hangi bazla eşleşir?,Timin
q3089,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Hücrede protein sentezinin gerçekleştiği temel yapı hangisidir?,Ribozom
q3090,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,İnsülin hormonu pankreastaki hangi hücreler tarafından üretilir?,Beta hücreleri
q3091,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Kanda oksijen taşımakla görevli hücreler hangileridir?,Alyuvarlar
q3092,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Aksolotl hangi hayvan grubundadır?,İki yaşamlılar
q3093,REJECT,4,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Ornitorenk aşağıdaki memeli gruplarından hangisine aittir?,Tek delikliler
q3094,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Bilinen en büyük hayvan türü hangisidir?,Mavi balina
q3095,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Dalış sırasında en yüksek hıza ulaşabilen kuş hangisidir?,Gökdoğan
q3096,REJECT,4,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Fotosentez sırasında atmosfere verilen oksijenin kaynağı ağırlıklı olarak hangisidir?,Su molekülleri
q3097,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Ses dalgaları genel olarak hangi ortamda en hızlı yayılır?,Katılarda
q3098,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Ozon molekülünün kimyasal formülü hangisidir?,O₃
q3099,REJECT,4,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Dünya’nın tektonik levhaları ağırlıklı olarak hangi katmanın parçalarıdır?,Litosfer
q3100,REJECT,4,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Nötronun elektrik yükü nedir?,Yüksüzdür
q3101,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,İlk modern Olimpiyat Oyunları 1896’da hangi şehirde düzenlenmiştir?,Atina
q3102,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,İlk FIFA Dünya Kupası 1930’da hangi ülkede düzenlenmiştir?,Uruguay
q3103,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Basketbolu icat eden kişi kimdir?,James Naismith
q3104,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Voleybolu geliştiren kişi kimdir?,William G. Morgan
q3105,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Wimbledon tenis turnuvası hangi zeminde oynanır?,Çim
q3106,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Roland-Garros tenis turnuvasının geleneksel kort zemini hangisidir?,Toprak
q3107,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Avustralya Açık tenis turnuvası günümüzde hangi zeminde oynanır?,Sert kort
q3108,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Resmî maraton mesafesi kaç kilometredir?,"42,195 km"
q3109,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Dekatlon kaç farklı atletizm branşından oluşur?,10
q3110,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Heptatlon kaç farklı atletizm branşından oluşur?,7
q3111,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Tour de France’ta sarı mayo neyi gösterir?,Genel klasman liderini
q3112,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Giro d’Italia’da genel klasman lideri hangi renk mayoyu giyer?,Pembe
q3113,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Formula 1’de “pole pozisyonu” ne anlama gelir?,Yarışa ilk sıradan başlamak
q3114,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Basketbol potasının çemberi yerden yaklaşık kaç feet yüksekliktedir?,10 feet
q3115,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Uzatma gerekmeyen standart bir beyzbol maçı kaç inning üzerinden oynanır?,9
q3116,REJECT,5,Orta,NONE,Trivia değeri düşük veya fazla niş şablon.,Krikette standart bir “over” kaç geçerli atıştan oluşur?,6
q3117,REJECT,5,Orta,NONE,hesaplama,Rugby union’da bir “try” kaç puan değerindedir?,5
q3118,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Buz hokeyinde normal süre kaç periyottan oluşur?,3
q3119,REJECT,5,Zor,NONE,Trivia değeri düşük veya fazla niş şablon.,Paralimpik hareketin sembolündeki şekillerin adı nedir?,Agitos
q3120,REJECT,5,Kolay,NONE,Trivia değeri düşük veya fazla niş şablon.,Satrançta rok hamlesinde hangi iki taş birlikte hareket eder?,Şah ile kale
q3121,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Afganistan ülkesinin başkenti hangisidir?,Kabul
q3122,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Angola ülkesinin başkenti hangisidir?,Luanda
q3123,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Antigua ve Barbuda ülkesinin başkenti hangisidir?,Saint John's
q3124,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Arnavutluk ülkesinin başkenti hangisidir?,Tiran
q3125,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Azerbaycan ülkesinin başkenti hangisidir?,Baku
q3126,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bahamalar ülkesinin başkenti hangisidir?,Nassau
q3127,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bahreyn ülkesinin başkenti hangisidir?,Manama
q3128,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bangladeş ülkesinin başkenti hangisidir?,Dhaka
q3129,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Barbados ülkesinin başkenti hangisidir?,Bridgetown
q3130,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Belarus ülkesinin başkenti hangisidir?,Minsk
q3131,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Belize ülkesinin başkenti hangisidir?,Belmopan
q3132,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Benin ülkesinin başkenti hangisidir?,Porto-Novo
q3133,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Birleşik Arap Emirlikleri ülkesinin başkenti hangisidir?,Abu Dhabi
q3134,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bolivya ülkesinin başkenti hangisidir?,Sucre
q3135,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bosna-Hersek ülkesinin başkenti hangisidir?,Saraybosna
q3136,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Botsvana ülkesinin başkenti hangisidir?,Gaborone
q3137,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Brunei ülkesinin başkenti hangisidir?,Bandar Seri Begawan
q3138,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Bulgaristan ülkesinin başkenti hangisidir?,Sofya
q3139,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Burkina Faso ülkesinin başkenti hangisidir?,Ouagadougou
q3140,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Burundi ülkesinin başkenti hangisidir?,Bujumbura
q3141,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Butan ülkesinin başkenti hangisidir?,Thimphu
q3142,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Cabo Verde ülkesinin başkenti hangisidir?,Praia
q3143,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Cezayir ülkesinin başkenti hangisidir?,Cezayir
q3144,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Cibuti ülkesinin başkenti hangisidir?,Djibouti
q3145,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Côte d’Ivoire ülkesinin başkenti hangisidir?,Yamoussoukro
q3146,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Dominik Cumhuriyeti ülkesinin başkenti hangisidir?,Santo Domingo
q3147,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Dominika ülkesinin başkenti hangisidir?,Roseau
q3148,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Ekvador ülkesinin başkenti hangisidir?,Quito
q3149,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Ekvator Ginesi ülkesinin başkenti hangisidir?,Malabo
q3150,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,El Salvador ülkesinin başkenti hangisidir?,San Salvador
q3151,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Eritre ülkesinin başkenti hangisidir?,Asmara
q3152,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Ermenistan ülkesinin başkenti hangisidir?,Erivan
q3153,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Estonya ülkesinin başkenti hangisidir?,Tallinn
q3154,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Esvatini ülkesinin başkenti hangisidir?,Lobamba
q3155,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Etiyopya ülkesinin başkenti hangisidir?,Addis Ababa
q3156,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Fas ülkesinin başkenti hangisidir?,Rabat
q3157,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Fiji ülkesinin başkenti hangisidir?,Suva
q3158,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Filipinler ülkesinin başkenti hangisidir?,Manila
q3159,KEEP,0,Orta,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Gabon ülkesinin başkenti hangisidir?,Libreville
q3160,REJECT,0,Orta,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Gambiya ülkesinin başkenti hangisidir?,Banjul
q3161,KEEP,0,Zor,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Gana ülkesinin başkenti hangisidir?,Akra
q3162,KEEP,0,Zor,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Gine ülkesinin başkenti hangisidir?,Conakry
q3163,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Gine-Bissau ülkesinin başkenti hangisidir?,Bissau
q3164,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Grenada ülkesinin başkenti hangisidir?,St. George's
q3165,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Guatemala ülkesinin başkenti hangisidir?,Guatemala City
q3166,KEEP,0,Zor,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Guyana ülkesinin başkenti hangisidir?,Georgetown
q3167,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Güney Sudan ülkesinin başkenti hangisidir?,Juba
q3168,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Gürcistan ülkesinin başkenti hangisidir?,Tiflis
q3169,KEEP,0,Zor,capital,"Tek bilgi soran, doğal ve çeşitlilik kotasını geçen soru.",Haiti ülkesinin başkenti hangisidir?,Port-au-Prince
q3170,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Honduras ülkesinin başkenti hangisidir?,Tegucigalpa
q3171,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Hırvatistan ülkesinin başkenti hangisidir?,Zagreb
q3172,REJECT,0,Zor,capital,Aynı kalıptan/cevaptan fazla soru bulunduğu için çeşitlilik kotasında elendi.,Jamaika ülkesinin başkenti hangisidir?,Kingston
