BİLGİ ROTASI – KATEGORİYE GİYDİRİLMİŞ MATEMATİK SORULARI
======================================================================================

Toplam soru bankası: 53063
Matematik problemi olarak elenecek: 16243

KATEGORİLERE GÖRE
--------------------------------------------------------------------------------------
Eğlence: 3993
Spor: 3924
Bilim & Doğa: 3391
Coğrafya: 2851
Sanat & Edebiyat: 1822
Tarih: 262

ELENECEK SORULAR
--------------------------------------------------------------------------------------
ID	KATEGORİ	TESPİT	SORU
q4197	Coğrafya	işlem işareti	Ekvador için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4198	Coğrafya	işlem işareti	Ekvator Ginesi için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4199	Coğrafya	işlem işareti	El Salvador için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4200	Coğrafya	işlem işareti	Endonezya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4201	Coğrafya	işlem işareti	Eritre için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4202	Coğrafya	işlem işareti	Ermenistan için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4203	Coğrafya	işlem işareti	Estonya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4204	Coğrafya	işlem işareti	Esvatini için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4205	Coğrafya	işlem işareti	Etiyopya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4206	Coğrafya	işlem işareti	Fas için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4207	Coğrafya	işlem işareti	Fiji için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4208	Coğrafya	işlem işareti	Filipinler için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4209	Coğrafya	işlem işareti	Finlandiya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4210	Coğrafya	işlem işareti	Fransa için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4211	Coğrafya	işlem işareti	Gabon için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4212	Coğrafya	işlem işareti	Gambiya için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4213	Coğrafya	işlem işareti	Gana için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4214	Coğrafya	işlem işareti	Gine için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4215	Coğrafya	işlem işareti	Gine-Bissau için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4216	Coğrafya	işlem işareti	Grenada için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4217	Coğrafya	işlem işareti	Guatemala için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4218	Coğrafya	işlem işareti	Guyana için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4219	Coğrafya	işlem işareti	Güney Afrika için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q4220	Coğrafya	işlem işareti	Güney Kore için kullanılan ISO 3166-1 alpha-3 kodu hangisidir?
q6122	Coğrafya	işlem işareti	191 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6125	Coğrafya	işlem işareti	Gine ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6130	Coğrafya	işlem işareti	690 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6133	Coğrafya	işlem işareti	Tacikistan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6138	Coğrafya	işlem işareti	196 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6141	Coğrafya	işlem işareti	Sırbistan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6146	Coğrafya	işlem işareti	728 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6149	Coğrafya	işlem işareti	Finlandiya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6154	Coğrafya	işlem işareti	100 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6157	Coğrafya	işlem işareti	Kuzey Kore ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6162	Coğrafya	işlem işareti	428 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6165	Coğrafya	işlem işareti	Ekvator Ginesi ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6170	Coğrafya	işlem işareti	583 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6173	Coğrafya	işlem işareti	Zambiya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6178	Coğrafya	işlem işareti	768 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6181	Coğrafya	işlem işareti	Antigua ve Barbuda ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6186	Coğrafya	işlem işareti	024 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6189	Coğrafya	işlem işareti	Kongo - Brazavil ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6194	Coğrafya	işlem işareti	204 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6197	Coğrafya	işlem işareti	Bahamalar ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6202	Coğrafya	işlem işareti	682 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6205	Coğrafya	işlem işareti	Grenada ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6210	Coğrafya	işlem işareti	688 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6213	Coğrafya	işlem işareti	Polonya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6218	Coğrafya	işlem işareti	646 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6221	Coğrafya	işlem işareti	Kenya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6226	Coğrafya	işlem işareti	144 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6229	Coğrafya	işlem işareti	Gine-Bissau ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6234	Coğrafya	işlem işareti	524 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6237	Coğrafya	işlem işareti	Ukrayna ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6242	Coğrafya	işlem işareti	044 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6245	Coğrafya	işlem işareti	Kolombiya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6250	Coğrafya	işlem işareti	178 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6253	Coğrafya	işlem işareti	Amerika Birleşik Devletleri ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6258	Coğrafya	işlem işareti	380 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6261	Coğrafya	işlem işareti	Esvatini ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6266	Coğrafya	işlem işareti	096 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6269	Coğrafya	işlem işareti	Angola ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6274	Coğrafya	işlem işareti	352 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6277	Coğrafya	işlem işareti	Japonya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6282	Coğrafya	işlem işareti	231 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q6285	Coğrafya	işlem işareti	Brezilya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q6509	Tarih	işlem işareti	MS 13-15. yüzyıllar dönemine tarihlenen ve Tayland sınırlarında bulunan alan hangisidir?
q6517	Tarih	işlem işareti	MS 9-13. yüzyıllar dönemine tarihlenen ve Meksika sınırlarında bulunan alan hangisidir?
q6533	Tarih	işlem işareti	MS 12-13. yüzyıllar dönemine tarihlenen ve Etiyopya sınırlarında bulunan alan hangisidir?
q6557	Tarih	işlem işareti	MS 14-18. yüzyıllar dönemine tarihlenen ve Tayland sınırlarında bulunan alan hangisidir?
q6589	Tarih	işlem işareti	MÖ 2-1. binyıllar dönemine tarihlenen ve Irak sınırlarında bulunan alan hangisidir?
q6597	Tarih	işlem işareti	MÖ 6-4. yüzyıllar dönemine tarihlenen ve İran sınırlarında bulunan alan hangisidir?
q6605	Tarih	işlem işareti	MS 11-15. yüzyıllar dönemine tarihlenen ve Zimbabve sınırlarında bulunan alan hangisidir?
q6636	Sanat & Edebiyat	sayısal seçenekler	Noktürn Op. 9 No. 2 ile The Third of May 1808 eserlerinin tarihlerinin arasında kaç yıl vardır?
q6958	Spor	sayısal seçenekler	1988 Yaz Olimpiyatları ile 1990 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q6970	Spor	sayısal seçenekler	1980 Avrupa Futbol Şampiyonası ile 2020 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q6982	Spor	sayısal seçenekler	2012 Yaz Olimpiyatları ile 1998 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q6994	Spor	sayısal seçenekler	2006 FIFA Dünya Kupası ile 1974 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q7006	Spor	sayısal seçenekler	1992 Avrupa Futbol Şampiyonası ile 1896 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q7018	Spor	sayısal seçenekler	1968 Yaz Olimpiyatları ile 2024 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q7030	Spor	sayısal seçenekler	2012 Avrupa Futbol Şampiyonası ile 2016 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q7042	Spor	sayısal seçenekler	2022 NBA Finalleri ile 2014 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q7054	Spor	sayısal seçenekler	2023 NBA Finalleri ile 1986 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q7066	Spor	sayısal seçenekler	1980 Yaz Olimpiyatları ile 2011 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q7078	Spor	sayısal seçenekler	1982 FIFA Dünya Kupası ile 2021 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q7090	Spor	sayısal seçenekler	1904 Yaz Olimpiyatları ile 2022 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q7102	Spor	sayısal seçenekler	2013 NBA Finalleri ile 1954 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q7114	Spor	sayısal seçenekler	1956 Yaz Olimpiyatları ile 2000 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q7123	Coğrafya	işlem işareti	724 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7126	Coğrafya	işlem işareti	Ruanda ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7131	Coğrafya	işlem işareti	120 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7134	Coğrafya	işlem işareti	Cibuti ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7139	Coğrafya	işlem işareti	438 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7142	Coğrafya	işlem işareti	Bolivya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7147	Coğrafya	işlem işareti	188 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7150	Coğrafya	işlem işareti	Somali ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7155	Coğrafya	işlem işareti	266 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7158	Coğrafya	işlem işareti	Kıbrıs ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7163	Coğrafya	işlem işareti	800 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7166	Coğrafya	işlem işareti	Lüksemburg ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7171	Coğrafya	işlem işareti	512 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7174	Coğrafya	işlem işareti	Marshall Adaları ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7179	Coğrafya	işlem işareti	642 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7182	Coğrafya	işlem işareti	Peru ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7187	Coğrafya	işlem işareti	132 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7190	Coğrafya	işlem işareti	Bahreyn ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7195	Coğrafya	işlem işareti	398 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7198	Coğrafya	işlem işareti	Fas ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7203	Coğrafya	işlem işareti	662 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7206	Coğrafya	işlem işareti	Brunei ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7211	Coğrafya	işlem işareti	804 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7214	Coğrafya	işlem işareti	Samoa ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7219	Coğrafya	işlem işareti	740 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7222	Coğrafya	işlem işareti	Sao Tome ve Principe ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7227	Coğrafya	işlem işareti	729 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7230	Coğrafya	işlem işareti	Komorlar ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7235	Coğrafya	işlem işareti	028 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7238	Coğrafya	işlem işareti	Venezuela ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7243	Coğrafya	işlem işareti	090 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7246	Coğrafya	işlem işareti	Kamerun ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7251	Coğrafya	işlem işareti	152 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7254	Coğrafya	işlem işareti	Afganistan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7259	Coğrafya	işlem işareti	084 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7262	Coğrafya	işlem işareti	Malta ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7267	Coğrafya	işlem işareti	882 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7270	Coğrafya	işlem işareti	Kosta Rika ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7275	Coğrafya	işlem işareti	678 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7278	Coğrafya	işlem işareti	Ekvador ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7283	Coğrafya	işlem işareti	584 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q7286	Coğrafya	işlem işareti	Bulgaristan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q7330	Eğlence	sayısal seçenekler	Cléo from 5 to 7 ile The Secret in Their Eyes yapımlarının ilk yayın veya gösterim yılları arasında kaç yıl vardır?
q7502	Tarih	işlem işareti	MS 4-13. yüzyıllar dönemine tarihlenen ve Vietnam sınırlarında bulunan alan hangisidir?
q7518	Tarih	işlem işareti	MS 6-10. yüzyıllar dönemine tarihlenen ve Hindistan sınırlarında bulunan alan hangisidir?
q7574	Tarih	işlem işareti	MÖ 3-2. binyıllar dönemine tarihlenen ve Birleşik Krallık sınırlarında bulunan alan hangisidir?
q7598	Tarih	işlem işareti	MS 11-13. yüzyıllar dönemine tarihlenen ve Myanmar sınırlarında bulunan alan hangisidir?
q7606	Tarih	işlem işareti	MS 1-3. yüzyıllar dönemine tarihlenen ve Suriye sınırlarında bulunan alan hangisidir?
q7960	Spor	sayısal seçenekler	1990 FIFA Dünya Kupası ile 2007 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q7972	Spor	sayısal seçenekler	2000 Avrupa Futbol Şampiyonası ile 2008 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q7984	Spor	sayısal seçenekler	2008 NBA Finalleri ile 2024 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q7996	Spor	sayısal seçenekler	2019 NBA Finalleri ile 1972 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q8008	Spor	sayısal seçenekler	1908 Yaz Olimpiyatları ile 2024 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q8020	Spor	sayısal seçenekler	2009 NBA Finalleri ile 1948 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8032	Spor	sayısal seçenekler	1896 Yaz Olimpiyatları ile 2003 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q8044	Spor	sayısal seçenekler	2000 NBA Finalleri ile 2020 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8056	Spor	sayısal seçenekler	1984 Avrupa Futbol Şampiyonası ile 2020 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q8067	Spor	sayısal seçenekler	1948 Yaz Olimpiyatları ile 1958 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q8078	Spor	sayısal seçenekler	2014 NBA Finalleri ile 1948 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8089	Spor	sayısal seçenekler	2024 NBA Finalleri ile 2023 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q8100	Spor	sayısal seçenekler	1980 Avrupa Futbol Şampiyonası ile 1996 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q8111	Spor	sayısal seçenekler	1990 FIFA Dünya Kupası ile 1970 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q8124	Coğrafya	işlem işareti	108 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8127	Coğrafya	işlem işareti	Özbekistan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8132	Coğrafya	işlem işareti	554 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8135	Coğrafya	işlem işareti	Lübnan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8140	Coğrafya	işlem işareti	528 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8143	Coğrafya	işlem işareti	Gambiya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8148	Coğrafya	işlem işareti	760 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8151	Coğrafya	işlem işareti	Slovakya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8156	Coğrafya	işlem işareti	268 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8159	Coğrafya	işlem işareti	İzlanda ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8164	Coğrafya	işlem işareti	400 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8167	Coğrafya	işlem işareti	Benin ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8172	Coğrafya	işlem işareti	242 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8175	Coğrafya	işlem işareti	Mısır ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8180	Coğrafya	işlem işareti	340 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8183	Coğrafya	işlem işareti	Moldova ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8188	Coğrafya	işlem işareti	212 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8191	Coğrafya	işlem işareti	Çad ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8196	Coğrafya	işlem işareti	364 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8199	Coğrafya	işlem işareti	Nijerya ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8204	Coğrafya	işlem işareti	716 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8207	Coğrafya	işlem işareti	Sri Lanka ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8212	Coğrafya	işlem işareti	894 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8215	Coğrafya	işlem işareti	Türkiye ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8220	Coğrafya	işlem işareti	174 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8222	Coğrafya	işlem işareti	Singapur ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8226	Coğrafya	işlem işareti	426 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8228	Coğrafya	işlem işareti	Barbados ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8232	Coğrafya	işlem işareti	484 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8234	Coğrafya	işlem işareti	Dominika ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8238	Coğrafya	işlem işareti	372 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8240	Coğrafya	işlem işareti	Fransa ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8244	Coğrafya	işlem işareti	440 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8246	Coğrafya	işlem işareti	Kuveyt ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8250	Coğrafya	işlem işareti	762 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8252	Coğrafya	işlem işareti	Nauru ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8256	Coğrafya	işlem işareti	180 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8258	Coğrafya	işlem işareti	Côte d’Ivoire ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8262	Coğrafya	işlem işareti	462 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8264	Coğrafya	işlem işareti	Yemen ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8268	Coğrafya	işlem işareti	659 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8270	Coğrafya	işlem işareti	İrlanda ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8274	Coğrafya	işlem işareti	156 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8276	Coğrafya	işlem işareti	Butan ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8280	Coğrafya	işlem işareti	498 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8282	Coğrafya	işlem işareti	Kanada ülkesinin iki harfli ISO 3166-1 kodu hangisidir?
q8286	Coğrafya	işlem işareti	320 sayısal ISO 3166-1 kodu hangi ülkeyi gösterir?
q8463	Tarih	işlem işareti	MS 5-8. yüzyıllar dönemine tarihlenen ve Çin sınırlarında bulunan alan hangisidir?
q8956	Spor	sayısal seçenekler	1964 Yaz Olimpiyatları ile 1924 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8967	Spor	sayısal seçenekler	2006 NBA Finalleri ile 1972 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8978	Spor	sayısal seçenekler	1974 FIFA Dünya Kupası ile 1936 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q8988	Spor	sayısal seçenekler	1992 Yaz Olimpiyatları ile 2004 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
q8998	Spor	sayısal seçenekler	1966 FIFA Dünya Kupası ile 2020 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q9008	Spor	sayısal seçenekler	1996 Yaz Olimpiyatları ile 1988 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q9018	Spor	sayısal seçenekler	1930 FIFA Dünya Kupası ile 1932 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q9028	Spor	sayısal seçenekler	2018 FIFA Dünya Kupası ile 1976 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q9038	Spor	sayısal seçenekler	1994 FIFA Dünya Kupası ile 1970 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q9048	Spor	sayısal seçenekler	1976 Avrupa Futbol Şampiyonası ile 1970 FIFA Dünya Kupası organizasyonları arasında kaç yıl vardır?
q9058	Spor	sayısal seçenekler	1924 Yaz Olimpiyatları ile 2001 NBA Finalleri organizasyonları arasında kaç yıl vardır?
q9068	Spor	sayısal seçenekler	1986 FIFA Dünya Kupası ile 1928 Yaz Olimpiyatları organizasyonları arasında kaç yıl vardır?
q9077	Spor	sayısal seçenekler	1948 Yaz Olimpiyatları ile 1980 Avrupa Futbol Şampiyonası organizasyonları arasında kaç yıl vardır?
