Soru ID;Eski soru;Yeni soru;Doğru cevap;İnceleme notu
q1980;1893 ile tarihlendirilen eser hangisidir?;Edvard Munch'ın Çığlık adlı eserinin en bilinen ilk versiyonu hangi yılda yapıldı?;1893;Bağlamsız tarih sorusuna sanatçı ve eser bilgisi eklendi.
q2920;1936 Yaz Olimpiyatları için doğru düzenlenme yılı eşleştirmesi hangisidir?;1936 Yaz Olimpiyatları hangi şehirde düzenlendi?;Berlin;"Sorunun içinde cevabın bulunması sorunu giderildi; ev sahibi şehir soruldu."
q994;Super Mario Bros. için doğru yayın yılı eşleştirmesi hangisidir?;Nintendo'nun Super Mario Bros. oyunu ilk kez hangi yılda yayımlandı?;1985;Oyun ve geliştirici belirtilerek soru netleştirildi.
q976;2017 yılında yayına başlayan ve Baran bo Odar ve Jantje Friese ile ilişkilendirilen dizi hangisidir?;Baran bo Odar ve Jantje Friese tarafından yaratılan, 2017'de başlayan Alman dizisi hangisidir?;Dark;“İlişkilendirilen” ifadesi kaldırılarak yaratıcı bilgisi açıkça yazıldı.
q2852;2014 FIFA Dünya Kupası organizasyonunun şampiyonu veya öne çıkan galibi kimdir?;2014 FIFA Dünya Kupası'nı hangi ülke kazandı?;Almanya;“Şampiyon veya öne çıkan galip” ifadesi kaldırıldı.
q2971;2016 yılında Rio de Janeiro ev sahipliğinde düzenlenen organizasyon hangisidir?;Rio de Janeiro'nun ev sahipliği yaptığı 2016 çok sporlu organizasyon hangisidir?;2016 Yaz Olimpiyatları;Seçeneklerin türleri uyumlu hâle getirildi ve soru “çok sporlu” ifadesiyle netleştirildi.
q2998;2010 FIBA Dünya Basketbol Şampiyonası için doğru düzenlenme yılı eşleştirmesi hangisidir?;2010 FIBA Dünya Basketbol Şampiyonası hangi ülkede düzenlendi?;Türkiye;"Sorunun içinde cevabın bulunması sorunu giderildi; ev sahibi ülke soruldu."
q1015;Minecraft için doğru oyun karakteri eşleştirmesi hangisidir?;Minecraft'ın varsayılan oynanabilir karakterlerinden biri hangisidir?;Steve;Yapay eşleştirme kalıbı doğal karakter sorusuna dönüştürüldü.
q1413;Fransa ile ilişkilendirilen tarihî olay hangisidir?;Fransız Devrimi hangi yılda başladı?;1789;Birden fazla olayın Fransa ile ilişkili olabilmesi nedeniyle soru kesin bir tarihe çevrildi.
q940;The Crown için doğru dizi yaratıcısı eşleştirmesi hangisidir?;The Crown dizisinin yaratıcısı kimdir?;Peter Morgan;Yapay eşleştirme ifadesi kaldırıldı ve seçenekler aynı meslek grubundan seçildi.
q2923;1936 Yaz Olimpiyatları için doğru şampiyon veya galip eşleştirmesi hangisidir?;1936 Berlin Yaz Olimpiyatları'nın madalya sıralamasında hangi ülke birinci oldu?;Almanya;Olimpiyatların tek bir şampiyonu olmadığı için madalya sıralaması açıkça soruldu.
q2883;2008 Avrupa Futbol Şampiyonası için doğru ev sahibi yer eşleştirmesi hangisidir?;2008 Avrupa Futbol Şampiyonası hangi iki ülkenin ortak ev sahipliğinde düzenlendi?;Avusturya ve İsviçre;Yer eşleştirmesi yerine ortak ev sahibi ülkeler doğrudan soruldu.
q1440;Yunan İsyanı’nın başlaması için doğru yer eşleştirmesi hangisidir?;1821 Yunan İsyanı'nın başlıca merkezlerinden biri olan Mora'nın diğer adı nedir?;Peloponez;Tartışmalı “başladığı yer” ifadesi yerine kesin bir coğrafya bilgisi soruldu.
q1928;1665 dolayları ile tarihlendirilen eser hangisidir?;Johannes Vermeer'in İnci Küpeli Kız tablosu yaklaşık hangi yılda yapıldı?;1665;Bağlamsız tarih sorusuna sanatçı ve eser bilgisi eklendi.
q981;Leyla ile Mecnun dizisinin yaratıcısı veya yaratıcıları kimdir?;Leyla ile Mecnun dizisinin yaratıcısı ve senaristi kimdir?;Burak Aksak;Kullanıcı önerisine göre yanlış seçeneklerin tamamı Türk televizyon dünyasından seçildi.
q1112;Maraton Savaşı için doğru yer eşleştirmesi hangisidir?;MÖ 490'daki Maraton Savaşı hangi iki taraf arasında yapıldı?;Atinalılar ve Persler;Cevabı adında bulunan yer sorusu yerine savaşın tarafları soruldu.
q1233;Birinci Haçlı Seferi’nin başlaması için doğru yer eşleştirmesi hangisidir?;Papa II. Urbanus, Birinci Haçlı Seferi çağrısını 1095'te hangi konsilde yaptı?;Clermont Konsili;Belirsiz coğrafya eşleştirmesi yerine tarihsel başlangıç olayı soruldu.
q2815;1986 FIFA Dünya Kupası hangi yıl düzenlenmiştir?;1986 FIFA Dünya Kupası'nı hangi ülke kazandı?;Arjantin;"Sorunun içinde cevabın bulunması sorunu giderildi; şampiyon ülke soruldu."
q2823;1998 FIFA Dünya Kupası hangi yıl düzenlenmiştir?;1998 FIFA Dünya Kupası'nı hangi ülke kazandı?;Fransa;"Sorunun içinde cevabın bulunması sorunu giderildi; şampiyon ülke soruldu."
q2849;2014 FIFA Dünya Kupası hangi yıl düzenlenmiştir?;2014 FIFA Dünya Kupası hangi ülkede düzenlendi?;Brezilya;"Sorunun içinde cevabın bulunması sorunu giderildi; ev sahibi ülke soruldu."
q1284;İstanbul ile ilişkili ve 1453 tarihinde gerçekleşen olay hangisidir?;Fatih Sultan Mehmet'in 1453'te fethettiği Bizans başkenti hangisidir?;İstanbul (Konstantinopolis);Cevabı soru kökünde veren ifade kaldırıldı ve tarihsel bağlam güçlendirildi.
q1686;1818 ile tarihlendirilen eser hangisidir?;Mary Shelley'nin Frankenstein romanı ilk kez hangi yılda yayımlandı?;1818;Bağlamsız tarih sorusuna yazar ve eser türü eklendi.
q1599;1605 ile tarihlendirilen eser hangisidir?;Miguel de Cervantes'in Don Kişot romanının ilk bölümü hangi yılda yayımlandı?;1605;Bağlamsız tarih sorusu eserin hangi bölümünün kastedildiği belirtilerek netleştirildi.
q1624;Romeo ve Juliet hangi tarih veya dönemde ortaya çıkmıştır?;Shakespeare'in Romeo ve Juliet oyununu yaklaşık hangi yıllarda yazdığı kabul edilir?;1594-1596;“Ortaya çıkmıştır” ifadesi yerine yaklaşık yazım dönemi açıkça soruldu.
q708;Forrest Gump ilk kez hangi yıl izleyici, oyuncu veya dinleyiciyle buluştu?;Forrest Gump filmi hangi yılda gösterime girdi?;1994;Yapay “izleyici, oyuncu veya dinleyici” ifadesi kaldırıldı.
q623;Jaws için doğru yayın yılı eşleştirmesi hangisidir?;Steven Spielberg'in Jaws filmi hangi yılda gösterime girdi?;1975;Film ve yönetmen belirtilerek yayın yılı sorusu netleştirildi.
q2806;1970 FIFA Dünya Kupası hangi yıl düzenlenmiştir?;1970 FIFA Dünya Kupası'nı hangi ülke kazandı?;Brezilya;"Sorunun içinde cevabın bulunması sorunu giderildi; şampiyon ülke soruldu."
q605;1972 yılında ilk kez yayımlanan eser hangisidir?;Francis Ford Coppola'nın Baba filmi hangi yılda gösterime girdi?;1972;"“Eser” ifadesi film olarak netleştirildi; yönetmen bilgisi eklendi."
q2892;2016 Avrupa Futbol Şampiyonası için doğru ev sahibi yer eşleştirmesi hangisidir?;2016 Avrupa Futbol Şampiyonası hangi ülkede düzenlendi?;Fransa;Yer eşleştirmesi doğal bir ev sahibi ülke sorusuna dönüştürüldü.
q12018;1980 Yaz Olimpiyatları ile 2003 NBA Finalleri organizasyonları arasında kaç yıl vardır?;2003 NBA Finalleri'ni hangi takım kazandı?;San Antonio Spurs;"Alakasız iki organizasyon arasındaki yıl hesabı kaldırıldı; doğrudan spor bilgisi soruldu."
q1790;1984 için doğru tarih veya dönem eşleştirmesi hangisidir?;George Orwell'ın 1984 romanı ilk kez hangi yılda yayımlandı?;1949;"Eser adı ile yılın karışması önlendi; ilk yayımlanma yılı açıkça soruldu."
q1267;Osmanlı Beyliği’nin kuruluşu için doğru yer eşleştirmesi hangisidir?;Osmanlı Beyliği'nin kuruluş merkezi kabul edilen Söğüt günümüzde hangi ilin sınırları içindedir?;Bilecik;Geniş “Bilecik ve çevresi” seçeneği yerine kesin ve güncel idari bilgi soruldu.
q2822;1986 FIFA Dünya Kupası için doğru ev sahibi yer eşleştirmesi hangisidir?;1986 FIFA Dünya Kupası hangi ülkede düzenlendi?;Meksika;Yapay yer eşleştirmesi doğal bir ev sahibi ülke sorusuna dönüştürüldü.
q2859;2018 yılında düzenlenen spor organizasyonu hangisidir?;2018 FIFA Dünya Kupası hangi ülkede düzenlendi?;Rusya;Cevabı adında bulunan organizasyon sorusu yerine ev sahibi ülke soruldu.
q2922;Almanya, 1936 yılında Berlin ile ilişkili hangi organizasyonun galibidir?;Berlin, 1936 yılında hangi büyük spor organizasyonuna ev sahipliği yaptı?;1936 Yaz Olimpiyatları;"Almanya'nın organizasyonun “galibi” sayılması hatası kaldırıldı; ev sahipliği soruldu."
q1600;Don Kişot için doğru tarih veya dönem eşleştirmesi hangisidir?;Don Kişot romanının yazarı kimdir?;Miguel de Cervantes;Aynı eserin tarihini soran başka kayıt bulunduğu için bu soru yazar bilgisine dönüştürüldü.
q1153;Jül Sezar’ın öldürülmesi en çok hangi yerle ilişkilidir?;Jül Sezar MÖ 44'te hangi şehirde öldürüldü?;Roma;"Roma ve İtalya seçeneklerinin ikisinin de doğru sayılabilmesi sorunu giderildi; seçenekler şehirlerden oluşturuldu."
